Description of Methods,Sheet,Category,Keyword/Phrase,Usage Context,Component,Explanation and Sources,Username,Strong Bias,Contextual Bias,Technical Terms,Edit Types,Total Edits,Sample Comments,Bias Ratio,Technical Ratio,Ratio Definitions,Unnamed: 10,Unnamed: 11,Policy Recommendation,Rationale,Technical Challenge,Implementation Ideas,Est. Expected Impact,Est. Timeline,Metric,Value,Registration Date,Total Edit Count,User Groups,Recent Topics,Registration Year,Registration Month,Factor,Anti-Israel/Pro Palestine Bias,Anti-American Bias,High Bias Users (27 total identified) to https://en.wikipedia.org/wiki/South_Africa%27s_genocide_case_against_Israel:,timestamp,username,comment,content_length,strong_bias,contextual_bias,technical_terms,total_bias,edit_type,explicit_bias_flag,Factor demonstrating conservative approach/ undercounts of bias,Description of why approach is conservative in bias-detection,Bias Type Identified in Wikipedia Exposed by Analysis,Definition
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-10 11:09:16+00:00,Selfstudier,Filled in 1 bare reference(s) with reFill 2,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-10 11:08:34+00:00,Selfstudier,/* Ruling on provisional measures */ Fix,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-10 11:08:02+00:00,Selfstudier,/* Ruling on provisional measures */ Give the exact date + ref,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09 10:09:31+00:00,WikiCleanerBot,v2.05b - [[User:WikiCleanerBot#T20|Bot T20 CW#61]] - Fix errors for [[WP:WCW|CW project]] (Reference before punctuation),0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09 04:36:02+00:00,Citation bot,Altered title. Removed parameters. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Jay8g | [[Category:CS1 maint: url-status]] | #UCB_Category 347/962,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09 04:30:58+00:00,CarmenEsparzaAmoux,/* In support */ add source,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09 00:23:28+00:00,טבעת-זרם,/* Israeli government position */per source,0.0,0.0,0.0,1.0,0.0,citation,High Anti-Israel Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09 00:19:35+00:00,Nableezy,"Undid revision 1205140367 by [[Special:Contributions/טבעת-זרם|טבעת-זרם]] ([[User talk:טבעת-זרם|talk]]) hrw: 'The ICJ concluded it was necessary to indicate certain measures “in order to protect the rights claimed by South Africa that the Court has found to be plausible,” including “the right of the Palestinians in Gaza to be protected from acts of genocide.”'",0.0,1.0,1.0,0.0,2.0,content,High Anti-Israel Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09 00:16:47+00:00,Nableezy,"Undid revision 1205145772 by [[Special:Contributions/טבעת-זרם|טבעת-זרם]] ([[User talk:טבעת-זרם|talk]]) add source on ""mass"" killings",0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09 00:12:58+00:00,טבעת-זרם,/* South African government position */unsourced,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-08 23:54:42+00:00,טבעת-זרם,/* Proceedings */unsourced text,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-08 21:57:36+00:00,Buidhe,/* Other international responses */ add summary table,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-08 20:21:45+00:00,Paul Duffill,/* In support */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-08 20:16:43+00:00,Paul Duffill,/* States and international organizations */ Added African Union to supporters,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-07 23:47:08+00:00,CarmenEsparzaAmoux,/* Impact */ Wallonia,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-07 21:54:44+00:00,Leaky.Solar,/* Impact */ added detail and source,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-07 21:49:17+00:00,Karma1998,,0.0,0.0,0.0,0.0,0.0,unknown,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-07 12:30:06+00:00,Paul Duffill,"/* Neutrality */ fixed EU lack-of-support quote which needed ""..."" in the middle because it is not a continuous quote in the source.",0.0,0.0,0.0,2.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-07 02:25:54+00:00,Fuchsia the Sun,Spacing,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-06 15:33:33+00:00,CarmenEsparzaAmoux,/* Impact */ Itochu,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-05 16:02:30+00:00,WikiCleanerMan,/* External links */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-04 21:10:34+00:00,Woodlot,spelling: acording → according,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-04 18:29:13+00:00,Genabab,/* South African government position */ Why hide this behind the [a]? should be in the main body given how key Amalek was,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-04 05:36:47+00:00,Citation bot,Altered title. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Susmuffin | #UCB_toolbar,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-04 05:33:35+00:00,Susmuffin,Rescuing 2 sources and tagging 0 as dead.) #IABot (v2.0.9.5,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-04 00:56:36+00:00,CarmenEsparzaAmoux,/* Other */ Impact,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-03 13:55:07+00:00,Tobby72,"add info, plus image",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-02 23:21:40+00:00,Betseg,/* Other international responses */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-02 23:20:54+00:00,Betseg,/* Other international responses */ manual revert flags template edits coz of conflicts,0.0,0.0,0.0,0.0,0.0,revert,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-01 21:28:22+00:00,Citation bot,Altered title. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Susmuffin | #UCB_toolbar,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-01 21:24:29+00:00,Susmuffin,Rescuing 8 sources and tagging 0 as dead.) #IABot (v2.0.9.5,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-01 13:42:37+00:00,Historyday01,/* See also */ This case is relevant enough to be added,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-01 11:07:58+00:00,Bondegezou,Link to this case is unclear,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-01 10:23:22+00:00,Selfstudier,/* Following the provisional measures order */ Re US proceedings case result + ref,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 21:01:48+00:00,Cdjp1,/* In support */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 20:57:06+00:00,Cdjp1,/* In support */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 16:10:31+00:00,Donkey Hot-day,/* Other international responses */ added a major country sourced to notable outlets,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 08:03:07+00:00,CarmenEsparzaAmoux,/* In support */ sp,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 08:02:43+00:00,CarmenEsparzaAmoux,/* In support */ sp,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 08:01:51+00:00,CarmenEsparzaAmoux,/* In support */ Maliki,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 07:20:11+00:00,CarmenEsparzaAmoux,/* In support */ deputy un rep,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 01:01:07+00:00,RadioactiveBoulevardier,/* In opposition */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31 00:57:15+00:00,RadioactiveBoulevardier,move item about US public opinion to own subsection under appropriate section,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 18:20:23+00:00,Tobby72,fixed,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 16:58:47+00:00,Bondegezou,/* Neutrality */ [[MOS:FLAG]],0.0,0.0,0.0,1.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 16:58:19+00:00,Bondegezou,/* In opposition */ [[MOS:FLAG]],0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 16:57:26+00:00,Bondegezou,/* In support */ [[MOS:FLAG]],0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 12:47:36+00:00,Susmuffin,Rescuing 5 sources and tagging 0 as dead.) #IABot (v2.0.9.5,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 11:54:25+00:00,Boud,/* In opposition */ cn; clarify,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 10:01:10+00:00,JulenBengoitia,/* In opposition */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 09:59:31+00:00,JulenBengoitia,/* States and international organizations */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 09:39:55+00:00,JulenBengoitia,/* Other international responses */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 07:14:56+00:00,Boud,"/* South African government position */ [[WP:QWQ]], ce",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 07:11:03+00:00,Boud,[[WP:']]; avoid creating a pipe to a name that is not the target article's consensus name; [[WP:QWQ]],0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 06:33:08+00:00,Drsmoo,Removing duplicated reference,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 06:31:23+00:00,Drsmoo,/* Initial ruling on plausibility */Moving Orde Kittrie ref to other ref section,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 06:19:10+00:00,Drsmoo,"Clean up section, add additional sources, add that standard for playability is low both in and off itself and relative to a merit decision",0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 02:28:30+00:00,Boud,"/* top */ shift the sentence on what the ICJ did *not* order to a position immediately after what the ICJ *did* order; it doesn't make sense to start saying what the ICJ did not do; if we wish to present the Western mainstream media interest in what the ICJ did not order, then that would best need sourcing with a media analysis and in the lead would make sense if a summary of media analysis in the body of the article is needed",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30 02:13:15+00:00,Boud,"/* top */ shift Israel's POV from 2nd paragraph to 3rd paragraph, since it makes no sense to have Israel's response both to finish para 2 *and* as a full para 3; for a more in-depth discussion on the lead, see [[Talk:South Africa v. Israel (Genocide Convention)#Undue weight in lead given to Israel]] (i.e. this edit is intended in the spirit of [[without prejudice]])",0.0,1.0,1.0,0.0,2.0,content,High Anti-Israel Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 22:17:08+00:00,Tobby72,add info,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 22:12:37+00:00,Vector legacy (2010),/* Analysis of the merits */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 18:29:35+00:00,Kizor,"/* South African government position */ Changed linking words from ""blockade"" to ""their blockade"" to convey without mouseovering that the link leads to this blockade in particular, not blockades in general.",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 18:15:06+00:00,Citation bot,"Alter: title, template type. Added newspaper. Removed parameters. Some additions/deletions were parameter name changes. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Susmuffin | #UCB_toolbar",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 18:11:34+00:00,Susmuffin,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.9.5,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 17:19:38+00:00,Selfstudier,Filled in 1 bare reference(s) with reFill 2,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 17:18:29+00:00,Selfstudier,/* Following the provisional measures order */ Gaza resettlement apparent breach of ruling + ref,0.0,0.0,0.0,0.0,0.0,content,High Anti-Israel Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 12:44:04+00:00,يوسف قناوة,/* In support */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 10:57:35+00:00,ManOnTheMoon92,Throwing in another source for good measure,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 10:54:08+00:00,ManOnTheMoon92,I can't see why this speculative analysis is being given such prominence. It's best to stick with presenting the facts,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 08:35:35+00:00,Citation bot,Altered title. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Susmuffin | #UCB_toolbar,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 08:20:41+00:00,Susmuffin,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.9.5,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 07:31:32+00:00,CarmenEsparzaAmoux,/* In support */ Arab league,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 01:26:44+00:00,Boud,/* Following the provisional measures order */ [[WP:']],0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 01:10:34+00:00,Boud,"/* top */ use factual type language rather than metaphors - while the media insist on what seems to be a running race metaphor for the ICJ ruling, in which the ICJ ""stopped short [of the finish line]"", the metaphor can be discussed in the body of the text as a media POV, but doesn't make sense in the lead",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 00:16:02+00:00,Citation bot,Altered title. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Susmuffin | #UCB_toolbar,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29 00:08:17+00:00,Susmuffin,Rescuing 2 sources and tagging 0 as dead.) #IABot (v2.0.9.5,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 21:10:15+00:00,Onceinawhile,/* Initial ruling on plausibility */ clarify what the rights refer to,0.0,0.0,1.0,0.0,1.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 19:04:04+00:00,Drsmoo,"/* Initial ruling on plausibility */ Refactoring, judge in case also says standard is lower, does not need to be attributed to ""some commentators"". Much lower, exceedingly low, very low are found widely in analysis",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 18:54:42+00:00,Drsmoo,"/* Proceedings */ Clarifying per RS that the court did not state which rights were plausibly violated (also see Judge Nolte), removing ""some commentators, as the determination that plausibility is a much lower standard is found widely, both in commentary on this case as well as with other cases.",0.0,0.0,1.0,0.0,1.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 18:25:20+00:00,Citation bot,"Alter: title, template type. Added newspaper. Removed parameters. Some additions/deletions were parameter name changes. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Susmuffin | #UCB_toolbar",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 18:22:06+00:00,Susmuffin,Rescuing 7 sources and tagging 0 as dead.) #IABot (v2.0.9.5,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 18:18:50+00:00,Selfstudier,/* Background */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 18:18:28+00:00,Selfstudier,/* Background */ unnecessary pipe.,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 18:05:30+00:00,ManOnTheMoon92,/* Background */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 18:04:53+00:00,ManOnTheMoon92,"/* Background */ Unless I am missing something, I don't see any mention of concerns of justifying genocide",0.0,1.0,0.0,0.0,1.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 17:44:51+00:00,Selfstudier,Filled in 2 bare reference(s) with reFill 2,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 17:44:11+00:00,Selfstudier,/* Following the provisional measures order */ right to food rapporteur + ref,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 15:32:40+00:00,InterstellarGamer12321,/* Following the provisional measures order */ fix grammar,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 14:54:12+00:00,Durranistan,/* In support */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 14:24:08+00:00,Selfstudier,"/* Following the provisional measures order */ Move here, wl rather than editorial commnetary.",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 14:23:24+00:00,Selfstudier,"/* Ruling on provisional measures */ Move to analysis section, nothing to do with ruling.",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 14:10:42+00:00,Rwendland,ce - fix pasre error,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 13:26:21+00:00,BilledMammal,/* Ruling on provisional measures */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 13:25:09+00:00,BilledMammal,/* Ruling on provisional measures */ Allegations that the provisional measures have been defied,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 10:40:51+00:00,Endwise,"/* In support */ Readers should be expected to know what countries are, so I agree they needn't be linked. But I do think that the organisations should be linked though, particularly given they are not explained in the prose.",0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 09:19:45+00:00,Paul Duffill,copy edit of immediatey previous edit,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 09:15:55+00:00,Paul Duffill,/* In support */ corrected date of OIC source,0.0,0.0,0.0,1.0,0.0,citation,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 08:39:28+00:00,Onceinawhile,/* Initial ruling on plausibility */,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 08:38:57+00:00,Onceinawhile,/* Initial ruling on plausibility */ copyedit,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 06:30:45+00:00,CarmenEsparzaAmoux,/* Individuals and other groups */ provisional measures > interim ruling,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
,11.All_Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-28 06:29:58+00:00,CarmenEsparzaAmoux,/* Officials */ Lammy,0.0,0.0,0.0,0.0,0.0,content,No High Bias,,,,
